MimotopeSetID,FileName
429,2000XXXX-1010005OOaaluAADO-AAIS
430,2008Aug01-1010005OOaalvAADP-AAIT
431,2008AprXX-1010002OOaalwAADQ-AAIU
432,2008Feb15-1010001OOaalxAAAL-AAIV
433,2014Apr29-1010002OOaalyAADR-AAIW
434,2014Apr29-1010005OOaalyAADR-AAIW
435,2014Apr29-1010001OOaalyAADR-AAIW
436,2008FebXX-1010002OOaalzAAAL-AAIX
437,2008FebXX-1010002OOaalzAAAL-AAIX
438,2008FebXX-1010096OOaalzAAAL-AAIX
439,2008FebXX-1010096OOaalzAAAL-AAIX
440,2008FebXX-1010001OOaalzAAAL-AAIX
441,2000XXXX-1010005OOaamaAADS-AAIY
442,2000XXXX-1010005OOaamaAADS-AAIY
443,2000XXXX-1010005OOaamaAADS-AAIY
444,2008AprXX-1010097OOaambAAAL-AAIZ
445,2008AprXX-1010097OOaamcAAAL-AAIZ
446,2000XXXX-1010005OOaamdAADT-AAJA
447,2008Nov07-1010001OOaameAADU-AAJB
448,1999AugXX-1010001OOaamfAAAL-AAJC
449,2008Feb19-1010098OOaamgAADV-AAJD
450,2008Apr25-1010065OOaamhAAAL-AAJE
451,2008SepXX-1010005OOaamiAADW-AAJF
452,2008SepXX-1010005OOaamiAADX-AAJF
453,2012Feb15-1010005OOaamjAAAL-AAJG
454,2012Feb15-1010005OOaamkAAAL-AAJG
455,2008JanXX-1010005OOaamlAADY-AAJH
456,2008JanXX-1010005OOaamlAADZ-AAJH
457,2008JanXX-1010005OOaamlAAEA-AAJH
458,2008JanXX-1010005OOaamlAAEB-AAJH
459,2008JanXX-1010005OOaamlAAEC-AAJH
460,2008JanXX-1010005OOaamlAAED-AAJH
461,2000XXXX-1010005OOaammAAEE-AAJI
462,2012Feb15-1010001OOaamnAAEF-AAJJ
463,2012Feb15-1010001OOaamnAAEG-AAJJ
464,2008Apr22-1010099OOaamoAAAL-AAJK
465,2008Apr22-1010100OOaamoAAAL-AAJK
466,2008Jan09-1010001OOaampAAEH-AAJL
467,2006JanXX-1010005OOaamqAAEI-AAJM
468,2008Jun06-1010034OOaamrAAEJ-AAJN
469,2008Jun06-1010101OOaamrAAEJ-AAJN
470,2013Oct10-1010002OOaamsAAEK-AAJO
471,2013Oct10-1010002OOaamsAAEL-AAJO
472,2008Nov12-1010088OOaamtAAEM-AAJP
473,2012Feb15-1010001OOaamuAAEN-AAJQ
474,2012Feb15-1010002OOaamuAAEN-AAJQ
475,2012Feb15-1010005OOaamuAAEN-AAJQ
476,2012Feb15-1010001OOaamuAAEO-AAJQ
477,2012Feb15-1010002OOaamuAAEO-AAJQ
478,2012Feb15-1010001OOaamvAAEN-AAJQ
479,2012Feb15-1010002OOaamvAAEN-AAJQ
480,2012Feb15-1010001OOaamvAAEO-AAJQ
481,2012Feb15-1010002OOaamvAAEO-AAJQ
482,2014Apr29-1010002OOaamwAAAL-AAJR
483,2014Apr29-1010001OOaamwAAAL-AAJR
484,2014Apr29-1010002OOaamxAAAL-AAJR
485,2014Apr29-1010001OOaamxAAAL-AAJR
486,1999AugXX-1010102OOaamyAAAL-AAJS
487,2008DecXX-1010001OOaamzAAEP-AAJT
488,2008DecXX-1010001OOaamzAAEP-AAJT
489,2008DecXX-1010001OOaamzAAEP-AAJT
490,2008DecXX-1010001OOaamzAAEP-AAJT
491,2008DecXX-1010001OOaamzAAEP-AAJT
492,2012Feb15-1010001OOaanaAAAL-AAJU
493,2002Sep15-1010103OOaanbAAAL-AAJV
494,2002Sep15-1010103OOaamcAAAL-AAJV
495,2008JulXX-1010104OOaancAAAL-AAJW
496,2008Sep01-1010066OOaandAAEQ-AAJX
497,2008DecXX-1010005OOaaneAAAL-AAJY
498,2008DecXX-1010005OOaanfAAAL-AAJY
499,1999AugXX-1010001OOaangAAER-AAJZ
500,2008May15-1010001OOaanhAAAL-AAKA
501,2008DecXX-1010060OOaaniAAAL-AAKB
502,2008DecXX-1010060OOaanjAAAL-AAKB
503,2008DecXX-1010001OOaanjAAAL-AAKB
504,2008DecXX-1010060OOaankAAAL-AAKB
505,2008DecXX-1010060OOaanlAAAL-AAKB
506,2008AprXX-1010001OOaanmAAES-AAKC
507,2008AprXX-1010001OOaannAAET-AAKC
508,2009Feb15-1010005OOaakrAAAL-AAKD
509,2008Feb26-1010001OOaanoAAAL-AAKE
510,2014Apr29-1010001OOaanpAAAL-AAKF
511,2014Apr29-1010001OOaanqAAAL-AAKF
512,2014Apr29-1010001OOaanrAAAL-AAKF
513,2014Apr29-1010001OOaansAAAL-AAKF
514,2011JunXX-1010001OOaantAAAL-AAKG
